# NEM 2010 half-hourly demand
#
# NSW   QLD     SA1     TAS    VIC
7809.31 5422.25 1385.23 947.59 5111.02
7483.69 5315.98 1338.53 926.52 4960.03
7117.23 5186.70 1260.39 906.13 5283.40
6812.03 5050.83 1189.31 907.17 5046.15
6544.33 4924.74 1141.12 895.16 4796.18
6377.32 4833.84 1109.25 908.08 4627.19
6282.85 4815.04 1086.98 910.69 4511.14
6211.49 4816.91 1073.51 901.98 4441.30
6248.31 4791.08 1073.60 898.32 4432.51
6198.61 4772.35 1070.35 889.93 4444.12
6237.35 4754.22 1065.02 884.84 4433.94
6370.48 4794.62 1033.16 883.72 4450.77
6506.42 4914.95 1045.14 904.10 4545.16
6738.75 5033.77 1074.99 940.68 4664.22
6980.41 5287.29 1105.50 933.43 4667.51
7213.33 5460.09 1136.16 977.96 4744.13
7515.60 5646.17 1149.91 1012.16 4854.96
7761.46 5781.86 1177.01 1024.39 4904.30
7915.54 5895.28 1226.26 1023.37 4981.52
8067.16 6042.96 1256.15 1018.33 5094.59
8123.31 6123.85 1294.27 1017.51 5088.45
8195.51 6203.49 1297.69 1035.88 5176.01
8221.36 6259.79 1307.28 1024.13 5229.84
8278.09 6306.30 1365.40 1006.36 5231.27
8361.58 6287.09 1392.48 1000.01 5221.69
8337.92 6348.65 1386.95 1001.30 5185.33
8421.08 6339.00 1359.24 995.01 5169.85
8477.34 6349.81 1396.06 994.16 5178.53
8501.39 6317.53 1416.93 1007.40 5183.41
8557.94 6276.12 1440.69 1005.54 5213.62
8603.11 6242.00 1453.37 1013.88 5255.45
8715.69 6228.21 1463.20 1031.74 5320.79
8791.61 6268.53 1476.73 1059.56 5393.27
8883.98 6299.68 1475.50 1069.13 5456.02
8835.92 6348.72 1500.40 1047.92 5414.28
8765.46 6377.41 1449.17 1066.33 5323.21
8640.56 6291.83 1361.95 1072.33 5282.27
8544.55 6295.81 1323.74 1060.83 5204.20
8562.12 6292.47 1266.58 1074.08 5157.42
8635.78 6268.33 1230.09 1076.59 5170.20
8573.05 6236.30 1224.57 1099.29 5248.86
8333.54 6139.42 1234.44 1077.11 5166.00
8343.80 6151.84 1212.72 1078.05 5041.54
8295.59 5948.74 1151.28 1065.25 4882.73
8210.54 5793.42 1091.02 1033.63 4761.29
8041.77 5766.26 1094.51 994.43 4635.50
7782.68 5621.07 1085.62 1001.06 4892.24
7574.85 5447.35 1256.64 1010.72 4802.54
7343.30 5256.08 1221.81 992.71 4622.89
7099.73 5095.09 1147.63 982.99 4428.91
6779.80 4954.32 1044.68 967.12 4719.84
6497.47 4812.71 998.69 952.15 4552.10
6347.69 4729.35 956.14 949.81 4437.16
6223.64 4704.67 922.54 933.30 4222.41
6182.07 4704.89 917.27 954.21 4104.46
6140.82 4714.59 910.37 913.23 4012.59
