# Demand data for 2010
# Copyright (C) 2014 Australian Energy Market Operator Limited
#
#Date       Time      NSW1      QLD1     SA1      SNOWY1  TAS1     VIC1   
2010/01/01  00:30:00  7809.31   5422.25  1385.23  0.0     947.59   5111.02
2010/01/01  01:00:00  7483.69   5315.98  1338.53  0.0     926.52   4960.03
2010/01/01  01:30:00  7117.23   5186.7   1260.39  0.0     906.13   5283.4 
2010/01/01  02:00:00  6812.03   5050.83  1189.31  0.0     907.17   5046.15
2010/01/01  02:30:00  6544.33   4924.74  1141.12  0.0     895.16   4796.18
2010/01/01  03:00:00  6377.32   4833.84  1109.25  0.0     908.08   4627.19
2010/01/01  03:30:00  6282.85   4815.04  1086.98  0.0     910.69   4511.14
2010/01/01  04:00:00  6211.49   4816.91  1073.51  0.0     901.98   4441.3 
2010/01/01  04:30:00  6248.31   4791.08  1073.6   0.0     898.32   4432.51
2010/01/01  05:00:00  6198.61   4772.35  1070.35  0.0     889.93   4444.12
2010/01/01  05:30:00  6237.35   4754.22  1065.02  0.0     884.84   4433.94
2010/01/01  06:00:00  6370.48   4794.62  1033.16  0.0     883.72   4450.77
2010/01/01  06:30:00  6506.42   4914.95  1045.14  0.0     904.1    4545.16
2010/01/01  07:00:00  6738.75   5033.77  1074.99  0.0     940.68   4664.22
2010/01/01  07:30:00  6980.41   5287.29  1105.5   0.0     933.43   4667.51
2010/01/01  08:00:00  7213.33   5460.09  1136.16  0.0     977.96   4744.13
2010/01/01  08:30:00  7515.6    5646.17  1149.91  0.0     1012.16  4854.96
2010/01/01  09:00:00  7761.46   5781.86  1177.01  0.0     1024.39  4904.3 
2010/01/01  09:30:00  7915.54   5895.28  1226.26  0.0     1023.37  4981.52
2010/01/01  10:00:00  8067.16   6042.96  1256.15  0.0     1018.33  5094.59
2010/01/01  10:30:00  8123.31   6123.85  1294.27  0.0     1017.51  5088.45
2010/01/01  11:00:00  8195.51   6203.49  1297.69  0.0     1035.88  5176.01
2010/01/01  11:30:00  8221.36   6259.79  1307.28  0.0     1024.13  5229.84
2010/01/01  12:00:00  8278.09   6306.3   1365.4   0.0     1006.36  5231.27
2010/01/01  12:30:00  8361.58   6287.09  1392.48  0.0     1000.01  5221.69
2010/01/01  13:00:00  8337.92   6348.65  1386.95  0.0     1001.3   5185.33
2010/01/01  13:30:00  8421.08   6339     1359.24  0.0     995.01   5169.85
2010/01/01  14:00:00  8477.34   6349.81  1396.06  0.0     994.16   5178.53
2010/01/01  14:30:00  8501.39   6317.53  1416.93  0.0     1007.4   5183.41
2010/01/01  15:00:00  8557.94   6276.12  1440.69  0.0     1005.54  5213.62
