# "Solar field thermal output (MWh), Hourly | Location=E:\/BoM2010-046129.epw","Solar field thermal output (MWh), Hourly | Location=E:\/BoM2010-046126.epw","Solar field thermal output (MWh), Hourly | Location=E:\/BoM2010-016001.epw","Solar field thermal output (MWh), Hourly | Location=E:\/BoM2010-018106.epw","Solar field thermal output (MWh), Hourly | Location=E:\/BoM2010-043091.epw","Solar field thermal output (MWh), Hourly | Location=E:\/BoM2010-036031.epw"
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1.64582,0,1.04034,0,0,0
0.949754,0.73601,2.29873,0.807069,0,0.444792
0.656675,1.80551,2.41265,1.01456,0,0.301084
1.73967,1.81674,2.42887,1.64431,0,0
1.79573,1.54644,2.44226,1.69277,0,0
1.44566,1.62166,2.46593,1.78866,0,0
1.84067,1.70807,2.41082,2.16051,0,0
2.01965,2.17757,2.43668,2.31246,0,0.281162
2.24559,2.21633,2.25383,2.2317,0,1.53938
2.2171,2.24993,2.1796,2.51717,0.231124,1.889
1.96657,2.02747,2.14505,1.99661,0.0413212,1.7237
0.865488,0.927713,1.79063,0.784505,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2.16382,1.98855,1.44986,0,0.211428,1.93835
2.31292,2.18314,2.61014,1.14112,0.113002,2.33362
2.35802,0.638618,2.68942,0.87175,1.12063,2.36269
2.30076,2.35561,2.57422,2.22102,0.213339,1.89545
2.17327,2.49099,2.56615,2.58247,0.13533,1.05084
2.22466,2.4746,2.71441,2.53847,0.570399,1.83827
2.36048,2.4389,2.54487,2.5659,0,2.2211
2.521,2.36429,2.56503,2.21059,1.29091,1.9376
2.46354,2.29629,2.75787,2.7002,2.19727,1.10692
2.43508,2.14441,2.65817,2.71392,1.5132,1.72692
2.14884,2.01313,2.53686,2.00866,0,1.82839
0.900961,0.958956,2.09291,1.22705,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2.55453,2.45826,1.33178,0,2.14208,0.978514
2.55237,2.76582,2.56305,2.52356,2.2707,0.563364
2.60924,2.8546,2.6543,2.68687,1.72153,0.217207
2.70097,2.76103,2.69868,2.65709,1.04865,0.361052
2.51457,2.84606,2.69856,2.698,1.35004,0.969187
2.75284,2.79766,2.59937,2.77261,1.24058,0.228193
2.77139,2.79085,2.72617,2.76652,0.59506,0.728294
2.70975,2.87487,2.81226,2.79187,0.215166,0.893365
2.7721,2.77412,2.77395,2.82398,1.93995,0
2.65533,2.66726,2.72569,2.81922,0.846422,0.00514049
2.33598,2.41257,2.5784,2.69192,0.641654,0.528167
1.02109,1.08131,2.11707,2.44606,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2.62263,2.44348,1.39157,0,0,0
2.73954,2.6464,2.68259,2.61434,0,0.634067
2.74276,2.81064,2.78501,2.77038,0.0386933,1.6416
2.71351,2.78639,2.78572,2.76504,0.283166,1.613
2.68997,2.81491,2.83296,2.8027,0.228469,0.746147
2.82781,2.72888,2.82022,2.72645,0,1.26955
2.79195,2.75635,2.80408,2.76953,0.307309,0.987739
2.87053,2.63011,2.82108,2.80149,0.930118,0.336034
2.78069,2.82694,2.80871,2.81989,0.435319,0
2.65048,2.65683,2.73338,2.82097,0.264487,0
2.32211,2.40794,2.55225,2.69209,0.261523,0
1.04228,1.07864,2.09292,2.41971,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1.84937,1.2218,1.31905,0,0,0
1.8585,2.20864,2.67875,2.58049,0,0
1.84789,2.09818,2.80788,2.73656,0,0
1.21321,1.93269,2.82008,2.75927,0,0
1.3896,1.56664,2.72727,2.74388,0,0
1.69586,1.3519,2.67899,2.66335,0,0
0.575331,1.18144,2.68477,2.77358,0,0
0.224866,0.743858,2.70848,2.76177,0,0
0,0.216466,2.70902,2.75168,0,0
0,0,2.61455,2.72745,0,0
0,0.0499024,2.46722,2.62529,0,0
0,0.222028,2.08466,2.39492,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0.154064,1.13817,0,0,0
1.17767,1.51085,2.54697,2.55281,0,0
1.376,1.52638,2.65534,2.71452,0,0
2.23358,1.12035,2.66517,2.69885,0,0
2.08081,0.207958,2.63991,2.69761,0,0
1.90433,0.571659,2.55748,2.58987,0,0
2.35059,1.36928,2.45309,2.61917,0,0
1.40018,0.821289,2.52336,2.65041,0,0
1.65657,0.250258,2.5235,2.6449,0,0
1.38225,0.230585,2.46624,2.65178,0,0
0.207338,0,2.30336,2.54441,0.086309,0
0.2655,0,1.30659,2.3084,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2.24588,1.68458,0,0,0,0
2.54418,2.08261,1.42088,2.40966,0,0
2.63294,2.14265,1.90493,2.5364,0,0
2.54418,1.85774,1.79432,2.5238,0,0
2.44517,1.37834,1.72508,2.49467,0,0
2.31327,1.3702,1.37928,2.38958,0.671432,0
2.32051,1.39933,1.34072,2.34769,0.223913,0
2.19166,1.48318,1.46953,2.41602,0.111606,0
2.55042,0.461026,1.45707,2.45376,0.976705,0
2.4481,0.216933,0.213354,2.47241,0.226522,0
2.03641,0.940306,0.337666,2.37482,0,0
0.611622,0.212921,1.78187,2.1846,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2.23791,1.87698,0.98069,0,0.992075,0
2.49225,1.75543,2.58861,2.46852,0.646382,0
2.55677,2.37518,2.68071,2.63505,0.790442,0
2.58856,2.41029,2.66263,2.64216,0.661567,0
2.41674,2.32186,2.64533,2.60022,0.236715,0
2.18313,2.34801,2.55719,2.46821,0.864671,0
2.07203,2.26048,2.51318,2.52778,1.85525,0
1.82697,2.37279,2.61833,2.53563,1.85138,0
1.51745,2.42789,2.26304,2.5914,1.99309,0
2.45509,2.36205,2.40451,2.60473,2.02302,0
1.96205,2.12883,2.39501,2.50383,1.88795,0
0.833824,1.00201,1.74182,2.2817,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
