# "Hourly Energy (kWh) | Location=E:\/BoM2010-086282.epw","Hourly Energy (kWh) | Location=E:\/BoM2010-066037.epw","Hourly Energy (kWh) | Location=E:\/BoM2010-040842.epw","Hourly Energy (kWh) | Location=E:\/BoM2010-070351.epw","Hourly Energy (kWh) | Location=E:\/BoM2010-023034.epw"
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.026091,0.043314,0.044304,0.052950,0.000000
0.072442,0.140281,0.159581,0.108046,0.062677
0.128399,0.132790,0.321200,0.300953,0.153757
0.169374,0.315640,0.481385,0.496771,0.388571
0.169624,0.309626,0.610153,0.671566,0.495854
0.141721,0.371793,0.668525,0.754988,0.694909
0.170779,0.498921,0.646712,0.796384,0.806690
0.126526,0.264182,0.349666,0.697727,0.837627
0.250405,0.293863,0.318954,0.726789,0.808919
0.263747,0.336562,0.438337,0.607052,0.733058
0.260231,0.359677,0.228408,0.448390,0.597828
0.197002,0.213456,0.157353,0.241820,0.413514
0.026379,0.068268,0.004427,0.045447,0.191215
0.000000,0.000000,0.000000,0.000000,0.013221
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.035870,0.040073,0.045244,0.056556,0.000000
0.081864,0.110346,0.145934,0.123193,0.053517
0.164272,0.254984,0.336701,0.254620,0.114550
0.195964,0.390266,0.515214,0.439514,0.315323
0.624837,0.529912,0.647442,0.176022,0.555500
0.741620,0.583212,0.722726,0.469648,0.674660
0.597241,0.138807,0.355589,0.510724,0.820566
0.658268,0.521617,0.704944,0.766792,0.850148
0.579038,0.396413,0.555028,0.704073,0.835726
0.377483,0.197343,0.477734,0.561335,0.770963
0.212156,0.251130,0.354730,0.370875,0.571457
0.177961,0.098957,0.164788,0.189375,0.438510
0.103396,0.061909,0.010314,0.051419,0.209227
0.020350,0.000000,0.000000,0.000000,0.014405
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.035435,0.038197,0.064295,0.051602,0.000000
0.090505,0.105675,0.162891,0.105704,0.057660
0.184513,0.154330,0.334419,0.313498,0.143059
0.380282,0.185698,0.530746,0.503409,0.307358
0.469681,0.270814,0.444388,0.689653,0.451459
0.482082,0.221804,0.569261,0.814611,0.738982
0.278064,0.294601,0.135142,0.873860,0.824246
0.604064,0.336219,0.211005,0.863493,0.838040
0.722552,0.219780,0.178019,0.795451,0.828621
0.615606,0.238699,0.195255,0.662151,0.753557
0.435374,0.139175,0.172806,0.441361,0.619932
0.345315,0.129810,0.104115,0.259863,0.432138
0.112284,0.066740,0.018589,0.055994,0.203129
0.000000,0.000000,0.000000,0.000000,0.014441
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.040490,0.049038,0.043751,0.042232,0.000000
0.067428,0.137745,0.098696,0.106208,0.063019
0.257100,0.205690,0.160977,0.211618,0.152675
0.492064,0.371576,0.238231,0.369780,0.393233
0.659772,0.344042,0.303250,0.620797,0.591703
0.770596,0.250390,0.487623,0.819381,0.727685
0.821693,0.235617,0.339786,0.866057,0.807663
0.825719,0.185860,0.292389,0.896493,0.831421
0.780686,0.339156,0.323859,0.825319,0.816596
0.686214,0.524080,0.354912,0.686754,0.733146
0.535201,0.380902,0.150749,0.496444,0.598209
0.336983,0.229024,0.105808,0.270259,0.423782
0.109895,0.057024,0.044272,0.052813,0.202712
0.000000,0.000000,0.000000,0.000000,0.015223
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.039102,0.060049,0.039394,0.058492,0.000000
0.065001,0.121092,0.107233,0.110976,0.061873
0.254686,0.345633,0.217969,0.337086,0.148826
0.484945,0.554921,0.341234,0.567756,0.388589
0.658451,0.700462,0.279768,0.727445,0.587203
0.768334,0.792777,0.337766,0.815200,0.720448
0.824133,0.822111,0.527756,0.675535,0.803895
0.833869,0.801998,0.607869,0.376694,0.837587
0.804386,0.728388,0.378821,0.451872,0.832704
0.694074,0.238529,0.236208,0.455463,0.752091
0.530866,0.143743,0.357812,0.417634,0.615852
0.335321,0.233493,0.189677,0.166974,0.433674
0.111494,0.031341,0.046816,0.066274,0.204198
0.000000,0.000000,0.000000,0.000000,0.015608
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.038238,0.055351,0.050664,0.054568,0.000000
0.070246,0.110145,0.093088,0.100529,0.061940
0.220383,0.310675,0.245017,0.326513,0.148349
0.334796,0.544114,0.303705,0.557806,0.389422
0.464819,0.671981,0.348257,0.726381,0.583951
0.706745,0.779827,0.532711,0.833485,0.715303
0.800692,0.810477,0.629695,0.688187,0.797301
0.750509,0.772788,0.617029,0.823306,0.826417
0.759103,0.504720,0.605085,0.801710,0.811380
0.712489,0.586816,0.401080,0.594613,0.735999
0.549355,0.437726,0.295063,0.312881,0.603784
0.344817,0.219531,0.133060,0.263102,0.424543
0.115197,0.030406,0.040752,0.049812,0.202825
0.000000,0.000000,0.000000,0.000000,0.015813
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.037132,0.043810,0.049278,0.040089,0.000000
0.063460,0.127353,0.135838,0.106222,0.062333
0.255526,0.178872,0.256924,0.259575,0.145566
0.499877,0.266572,0.404125,0.353140,0.382225
0.680971,0.427124,0.363798,0.642423,0.581326
0.802693,0.575232,0.327431,0.844569,0.717472
0.862106,0.448880,0.408476,0.889081,0.800615
0.860298,0.366186,0.307086,0.884864,0.827790
0.803630,0.379006,0.404539,0.802192,0.814852
0.703502,0.415039,0.250666,0.681909,0.733109
0.545724,0.211090,0.213447,0.500531,0.601853
0.342729,0.138070,0.181357,0.275777,0.427533
0.115096,0.068796,0.041495,0.057539,0.207574
0.000000,0.000000,0.000000,0.000000,0.016969
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.037161,0.042331,0.054697,0.044213,0.000000
0.069525,0.133082,0.146055,0.100390,0.059228
0.246641,0.231679,0.280948,0.232143,0.139974
0.472633,0.259652,0.238225,0.511871,0.376414
0.648943,0.467698,0.473821,0.741445,0.571733
0.755070,0.480463,0.572101,0.846921,0.702480
0.779723,0.643965,0.564345,0.896584,0.784389
0.726153,0.660530,0.564997,0.881585,0.807997
0.520205,0.669940,0.620462,0.817874,0.784088
0.451062,0.629965,0.553665,0.676158,0.707613
0.506217,0.458931,0.389401,0.479243,0.576910
0.325221,0.236646,0.193017,0.266170,0.410180
0.103823,0.035255,0.015955,0.055866,0.199644
0.000000,0.000000,0.000000,0.000000,0.016676
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.032903,0.054726,0.049695,0.050892,0.000000
0.061597,0.110615,0.132055,0.094055,0.059904
0.229425,0.333546,0.321551,0.319485,0.139071
0.472241,0.537462,0.538693,0.552496,0.372702
0.644252,0.676629,0.657578,0.683394,0.566779
0.696469,0.759380,0.727447,0.821238,0.685126
0.747683,0.784591,0.774374,0.835603,0.764527
0.808786,0.774391,0.774635,0.854907,0.801649
0.783756,0.715219,0.686529,0.787339,0.790183
0.695245,0.596158,0.577290,0.655226,0.716797
0.541280,0.432910,0.394810,0.475861,0.591182
0.339913,0.225553,0.196785,0.262633,0.420022
0.114469,0.033691,0.016730,0.054683,0.201239
0.000000,0.000000,0.000000,0.000000,0.017250
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
